employee,cost
80,30.74441086
65,33.7684133
2,86.70256096
100,36.64606854
50,31.84827933
3,88.25052896
63,27.80186876
88,23.968365
11,63.20614811
69,26.08937754
36,35.09114281
69,36.91797506
96,33.89481965
39,36.62301941
38,30.33764771
91,25.19596257
26,23.4789711
88,24.61854588
86,27.79281686
7,76.41312777
94,30.52318395
36,34.42092714
3,93.45852699
95,34.18399818
82,29.54265312
12,44.68696957
42,54.32283267
87,24.89652231
71,35.21211844
51,29.88658135
87,31.30783708
74,32.24207257
31,27.39101512
75,28.48262836
40,30.33534201
50,33.53099054
49,20.12068744
19,17.4126136
32,22.43597741
54,27.47286262
46,33.48703919
61,31.94383765
49,21.57742935
17,33.54107451
100,28.42068601
9,68.01744956
26,16.53994894
43,42.54706577
25,19.1048535
57,28.11155629
43,36.53042175
37,41.76924141
41,18.61809476
6,79.78913305
45,38.14492988
66,32.23349897
74,34.74829692
48,31.84951296
96,33.68744299
53,25.93872933
67,31.77066153
73,41.72619215
12,46.94485917
62,26.86845176
78,33.7941445
53,29.00746042
5,87.7143055
66,41.50484399
77,32.67423407
62,30.02067169
57,28.09908265
26,18.14221584
66,22.45336479
11,58.5882803
80,20.81722984
78,17.97325814
31,24.10483119
14,41.60677582
84,24.94197106
62,23.65627848
80,19.5923929
42,29.004801
33,31.79722563
80,27.82433991
95,22.84640118
70,37.3753787
96,34.96828063
87,34.97104615
76,32.67938643
95,44.03255068
54,28.1425481
18,25.45534379
32,28.45305486
100,26.39629437
96,39.61618349
44,27.97264285
51,27.89690212
29,29.51848301
12,57.40840681
63,33.52174156
27,23.08219401
77,28.44101267
3,89.54480111
30,25.02627278
99,37.08680648
55,16.28489737
25,26.05815609
42,35.48356696
22,16.8819416
2,95.81701155
86,23.12592167
44,40.34509195
44,39.36591557
74,44.88147917
2,94.26632329
4,89.68795411
34,31.19397297
97,21.20105819
82,26.27622466
71,43.00568027
92,32.70373902
23,16.26505738
40,34.66153328
5,89.8809696
52,24.001098
39,30.76004956
40,38.86609627
9,73.99478983
10,70.49488465
51,17.31941076
10,57.20733891
74,32.05472475
24,20.4890538
56,28.53525469
36,45.08836474
1,83.3132461
21,13.33642763
7,78.86212718
44,28.3515689
69,30.76612089
11,55.18090737
58,32.50498637
53,20.90387531
59,26.76790029
23,9.031068459
33,37.11587726
86,31.29855963
88,24.11987763
100,39.44016827
41,29.02750776
56,21.75949598
73,23.91286047
38,31.61201034
73,25.62069661
41,35.25043893
94,38.97423357
10,67.03646265
88,24.71914162
26,13.16692178
43,48.56695463
34,30.83984132
100,28.42507496
94,26.60109193
46,37.54216744
93,30.4463488
54,24.18990128
70,36.71711256
90,28.84008563
62,25.28686051
90,22.76178636
23,12.64111939
72,41.60475571
2,94.01588536
25,11.86452069
100,29.26625317
93,29.08504293
10,60.02701961
47,40.25121439
59,32.15658931
74,23.49044105
59,29.47778593
37,29.96512819
67,36.18452773
85,30.97016032
1,81.14210988
64,34.49280208
6,75.41341807
73,35.47635729
31,34.64967532
91,29.11633475
71,39.74221371
14,49.50108849
51,27.65799391
51,29.3198389
49,28.92188476
87,29.85077675
97,26.57999981
14,41.31335176
24,10.81543812
34,20.67489531
49,25.99105771
59,27.93121097
89,25.75911268
10,64.0427073
4,87.48397019
36,45.25712373
24,10.73441109
54,17.52111664
56,25.20208186
37,39.94031896
32,14.46427555
17,35.73861777
31,25.2288489
65,36.64244107
14,42.2085916
13,36.47786526
76,34.45051048
8,70.73191756
34,32.9195198
69,39.46376265
49,31.29547565
62,20.72533919
8,73.63528504
27,17.90426391
30,28.68540156
77,25.41515725
26,21.23639039
87,25.4461852
52,35.19676382
72,34.83156482
9,60.91592362
13,43.43150797
22,14.32525835
68,31.55759403
9,68.16976267
60,24.37276909
6,74.34382609
20,21.7424942
90,32.84005447
93,23.20848231
16,39.02144396
93,28.69836242
35,25.74952403
51,22.62421583
29,21.67499697
52,24.05425373
50,38.39462845
64,39.21100798
32,26.04140708
100,43.15378333
52,22.67702527
53,21.70709796
63,28.2374494
31,32.28728759
62,29.83104076
30,15.54213977
92,25.73452604
90,30.78074978
88,31.10601169
60,32.16522433
4,87.85175837
46,34.17909172
30,25.13055228
10,64.16140027
17,32.98265301
76,27.53426703
60,27.37080022
82,21.81992091
9,63.34790814
27,17.59549707
10,60.0564179
36,35.8383975
79,26.57113994
90,36.6161559
16,24.62105246
68,34.65733529
39,35.98582736
43,44.35545798
33,34.7652011
91,24.53111208
33,30.46528389
70,23.84096314
67,27.96441402
35,31.20376616
39,39.95636829
92,30.20161203
93,23.59048314
83,10.06669087
43,31.64398122
62,29.36202364
82,37.91889041
101,36.85283407
48,27.24022731
95,40.88439069
49,20.3069613
24,21.03955251
12,46.10464444
54,19.64119038
97,35.10439054
45,35.85214998
54,23.87633324
84,38.86384298
64,34.69584229
49,22.72950262
32,25.86186554
63,36.01075969
92,30.04517774
23,17.72578826
17,31.7947433
83,30.93208735
99,37.72901375
42,42.08471578
51,25.42252478
20,15.39888185
28,21.01665001
50,32.50637908
2,89.51833923
49,21.85317643
93,29.4320648
59,25.40347115
89,21.18143389
56,9.171721019
89,30.02366054
36,42.00803487
49,32.53697736
48,24.34783453
66,28.84630287
13,52.85478454
73,33.06056602
29,19.4160253
65,28.86714874
13,48.67319044
81,32.57636757
99,27.58625777
81,19.74835987
70,31.6233266
61,24.33537237
34,30.62548157
33,31.09607808
72,34.1200798
95,34.99342782
20,15.33723728
51,27.28953253
56,20.72079919
57,20.84959372
51,34.15559326
79,33.23136296
10,56.5931659
52,26.79829306
88,24.20096014
100,38.41790498
19,25.85448075
45,30.00692117
82,28.15959494
96,32.69617538
97,38.7516802
95,28.0687945
99,37.02069521
6,84.4369679
77,34.68599819
84,25.08373282
26,12.92256915
21,17.0537095
24,19.42946293
46,38.43885137
72,42.28213718
57,20.96119672
95,37.16358554
42,33.43248285
98,32.67654521
100,38.3399958
67,26.19418311
91,25.5192372
40,35.09789458
61,23.79629551
32,32.48235115
11,45.69984765
13,40.75966621
5,85.83396106
58,22.22486813
86,21.65308579
99,30.3139564
23,24.22475626
81,22.82968929
49,25.00984474
82,21.27086956
87,22.80642666
75,36.41086605
81,27.58576718
47,33.08289314
94,22.58587423
17,18.86969206
90,26.03531897
52,25.74602541
73,29.92167073
25,14.50845177
62,22.89466833
44,33.97671069
6,84.90387851
21,21.02251237
64,31.14027102
7,83.71603021
75,32.97878897
40,40.05879119
66,35.10668401
18,19.66034261
8,73.6404624
26,17.55271289
87,32.58847167
92,30.28050911
99,33.31861895
80,20.38404154
55,26.68563171
26,14.41492463
56,16.69990627
93,21.46077211
43,37.62974757
40,34.558489
80,31.47051542
85,26.86946274
9,67.84501093
93,28.59472405
81,30.08544036
16,36.98470505
87,26.24909633
4,89.884566
83,32.87483191
33,31.38950171
11,59.2811336
52,34.81252547
15,40.81486518
74,35.82738779
46,29.86722256
55,23.17160677
82,26.90781085
31,26.74950845
29,23.97844766
34,29.73633565
60,37.6742681
94,18.16021789
92,25.76238285
45,33.74534451
10,62.2190009
97,26.84541024
53,21.38306756
58,20.69089042
11,59.67457958
40,32.30878146
58,27.3454952
38,41.27987406
77,37.02445962
38,37.12244242
66,36.87471355
100,32.68545294
76,31.57736201
46,30.93004281
13,51.04609474
71,39.65488026
67,33.03087524
86,36.19974891
82,32.07203186
64,31.81057418
19,15.73075699
17,29.72506488
10,70.05004
48,27.69007342
40,35.49651917
95,27.09707723
10,62.91200631
10,58.23886963
39,37.94402689
53,28.54761986
19,30.29417355
67,42.44181686
26,14.92831703
73,26.860214
58,19.80521112
12,54.29249027
81,24.81137608
51,26.69436739
79,32.97508734
98,36.08593327
39,31.72569496
42,33.45316099
48,34.8511934
96,31.12207268
90,21.23679557
67,33.77518014
42,35.92937173
81,27.94371043
97,32.87209383
